Start_Time: 1599030150055428500 
1599030150129573400 pressed s 
1599030150206707400 release s
1599030150403871500 pressed s 
1599030150471667000 release s
1599030151017587500 pressed Key.shift 
1599030151232587300 pressed S 
1599030151318587700 release Key.shift
1599030151348587700 release s
1599030152171343200 pressed Key.ctrl_l 
1599030152406380200 pressed  
1599030152527721000 release Key.ctrl_l
1599030152553623100 release s
1599030153149124200 pressed Key.ctrl_l 
1599030153389009100 pressed Key.alt_l 
1599030153600220000 pressed None 
1599030153726692700 release <83>
1599030153732893000 release Key.alt_l
1599030153820657400 release Key.ctrl_l
1599030154588017700 pressed Key.alt_l 
1599030154637973400 pressed Key.tab 
1599030154651959500 release Key.alt_l
1599030154725716500 release Key.tab
